Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,FBI Code
JK279367,06/02/2026 08:08:00 PM,012XX W 98TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,022,01A
JK279762,06/02/2026 08:00:00 PM,017XX N MAYFIELD AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,025,06
JK279735,06/02/2026 08:00:00 PM,016XX N MAYFIELD AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,025,06
JK279745,06/02/2026 08:00:00 PM,016XX N MANGO AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,025,06
JK280086,06/02/2026 08:00:00 PM,026XX S LOWE AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,009,06
JK280257,06/02/2026 08:00:00 PM,032XX W DIVERSEY AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,014,06
JK279778,06/02/2026 08:00:00 PM,003XX W 25TH PL,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,009,06
JK279408,06/02/2026 08:00:00 PM,042XX W WASHINGTON BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,True,011,04A
JK279383,06/02/2026 07:51:00 PM,038XX W HARRISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,True,011,08B
JK279549,06/02/2026 07:51:00 PM,027XX N AUSTIN AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,False,False,025,26
JK279403,06/02/2026 07:50:00 PM,055XX W CORTLAND ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,False,True,025,08B
JK279394,06/02/2026 07:50:00 PM,036XX N PINE GROVE AVE,0495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,SIDEWALK,False,False,019,04B
JK279382,06/02/2026 07:49:00 PM,047XX W ARTHINGTON ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,011,15
JK279469,06/02/2026 07:45:00 PM,016XX W HARRISON ST,0560,ASSAULT,SIMPLE,HOSPITAL BUILDING / GROUNDS,False,False,012,08A
JK279428,06/02/2026 07:40:00 PM,010XX W 104TH PL,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,022,08A
JK279752,06/02/2026 07:40:00 PM,013XX S CANAL ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,001,06
JK279409,06/02/2026 07:39:00 PM,069XX S ASHLAND AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,ALLEY,True,False,007,24
JK279398,06/02/2026 07:34:00 PM,070XX S CREGIER AVE,0820,THEFT,$500 AND UNDER,STREET,False,True,003,06
JK279365,06/02/2026 07:30:00 PM,023XX W JACKSON BLVD,0560,ASSAULT,SIMPLE,CHA PARKING LOT / GROUNDS,False,False,012,08A
JK279760,06/02/2026 07:30:00 PM,036XX N HOYNE AVE,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,019,06
JK279429,06/02/2026 07:30:00 PM,016XX N KILDARE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,025,08B
JK282692,06/02/2026 07:30:00 PM,002XX E 51ST ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,002,26
JK279402,06/02/2026 07:30:00 PM,062XX S SANGAMON ST,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,True,007,04A
